id,url,title,title_clean,published_at,year,month,year_month,view_count,label_klarifikasi,topic,topic_name,word_count
63882,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-keterlibatan-oknum-tni-di-kasus-penggerebekan-oknum-pejabat-kampus-di-kota-jambi,[HOAKS] Keterlibatan Oknum TNI di Kasus Penggerebekan Oknum Pejabat Kampus di Kota Jambi,Keterlibatan Oknum TNI di Kasus Penggerebekan Oknum Pejabat Kampus di Kota Jambi,2026-05-08 22:03:00,2026,5,2026-05,166,HOAKS,14,"Isu Politik, Korupsi, dan Tokoh Publik",192
63881,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-untuk-daftar-seleksi-pegawai-tetap-pln-2026,[HOAKS] Tautan untuk Daftar Seleksi Pegawai Tetap PLN 2026,Tautan untuk Daftar Seleksi Pegawai Tetap PLN 2026,2026-05-08 22:00:00,2026,5,2026-05,181,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,89
63871,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-indonesia-pimpin-negara-asean-rebut-laut-cina-selatan,[HOAKS] Indonesia Pimpin Negara ASEAN Rebut Laut Cina Selatan,Indonesia Pimpin Negara ASEAN Rebut Laut Cina Selatan,2026-05-07 23:04:00,2026,5,2026-05,383,HOAKS,8,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,70
63870,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-kemenag-nilai-pencabulan-santriwati-di-pati-adalah-nafsu-manusiawi,[HOAKS] Kemenag Nilai Pencabulan Santriwati di Pati adalah Nafsu Manusiawi,Kemenag Nilai Pencabulan Santriwati di Pati adalah Nafsu Manusiawi,2026-05-07 23:03:00,2026,5,2026-05,760,HOAKS,54,Topik Lainnya,89
63869,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-facebook-mengatasnamakan-ketua-dprd-badung-i-gusti-anom-gumanti,[HOAKS] Akun Facebook Mengatasnamakan Ketua DPRD Badung I Gusti Anom Gumanti,Akun Facebook Mengatasnamakan Ketua DPRD Badung I Gusti Anom Gumanti,2026-05-07 23:02:00,2026,5,2026-05,189,HOAKS,2,Akun Facebook Palsu Mengatasnamakan Tokoh/Pejabat,84
63868,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-lowongan-kerja-lion-air-group,[HOAKS] Tautan Lowongan Kerja Lion Air Group,Tautan Lowongan Kerja Lion Air Group,2026-05-07 23:01:00,2026,5,2026-05,192,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,61
63860,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-fifa-umumkan-pertandingan-indonesia-oman-untuk-tiket-piala-dunia-2026,[HOAKS] FIFA Umumkan Pertandingan Indonesia-Oman untuk Tiket Piala Dunia 2026,FIFA Umumkan Pertandingan Indonesia-Oman untuk Tiket Piala Dunia 2026,2026-05-06 23:10:00,2026,5,2026-05,430,HOAKS,24,Topik Lainnya,110
63859,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-palsu-mengatasnamakan-menteri-kelautan-dan-perikanan-sakti-wahyu-trenggono,[HOAKS] Akun Palsu Mengatasnamakan Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono,Akun Palsu Mengatasnamakan Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono,2026-05-06 23:07:00,2026,5,2026-05,288,HOAKS,23,"Bank, Undian, dan Hadiah Palsu",83
63858,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-kemenag-bolehkan-korupsi-asal-sesuai-prosedur,[HOAKS] Kemenag Bolehkan Korupsi Asal Sesuai Prosedur,Kemenag Bolehkan Korupsi Asal Sesuai Prosedur,2026-05-06 23:03:00,2026,5,2026-05,430,HOAKS,20,"Isu Politik, Korupsi, dan Tokoh Publik",52
63857,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-lowongan-kerja-pos-indonesia,[HOAKS] Tautan Lowongan Kerja Pos Indonesia,Tautan Lowongan Kerja Pos Indonesia,2026-05-06 23:00:00,2026,5,2026-05,223,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,115
63850,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-program-magang-kantor-perwakilan-bank-indonesia,[HOAKS] Program Magang Kantor Perwakilan Bank Indonesia,Program Magang Kantor Perwakilan Bank Indonesia,2026-05-05 23:04:00,2026,5,2026-05,419,HOAKS,47,Surat/Undangan Palsu Mengatasnamakan Instansi,110
63849,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-vladimir-putin-sindir-negara-muslim-yang-tak-bela-iran-dan-palestina,[HOAKS] Vladimir Putin Sindir Negara Muslim yang Tak Bela Iran dan Palestina,Vladimir Putin Sindir Negara Muslim yang Tak Bela Iran dan Palestina,2026-05-05 23:03:00,2026,5,2026-05,307,HOAKS,48,"Isu Politik, Korupsi, dan Tokoh Publik",125
63848,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-token-listrik-gratis-rp-250000-dengan-hubungi-whatsapp-pln,[HOAKS] Token Listrik Gratis Rp 250.000 dengan Hubungi WhatsApp PLN,Token Listrik Gratis Rp 250.000 dengan Hubungi WhatsApp PLN,2026-05-05 23:02:00,2026,5,2026-05,386,HOAKS,67,Topik Lainnya,82
63847,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-bantuan-dana-rp50-juta-dari-purbaya-yudhi-sadewa,[HOAKS] Bantuan Dana Rp50 Juta dari Purbaya Yudhi Sadewa,Bantuan Dana Rp50 Juta dari Purbaya Yudhi Sadewa,2026-05-05 23:01:00,2026,5,2026-05,327,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,95
63842,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-vaksin-mmr-sebabkan-autisme-pada-anak,[HOAKS] Vaksin MMR Sebabkan Autisme pada Anak,Vaksin MMR Sebabkan Autisme pada Anak,2026-05-04 23:40:00,2026,5,2026-05,634,HOAKS,3,Kesehatan dan Vaksin COVID-19,83
63841,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-mengatasnamakan-kepala-bidang-pengelolaan-pasar-disperindag-dan-esdm-kabupaten-garut,[HOAKS] Akun WhatsApp Mengatasnamakan Kepala Bidang Pengelolaan Pasar Disperindag dan ESDM Kabupaten Garut,Akun WhatsApp Mengatasnamakan Kepala Bidang Pengelolaan Pasar Disperindag dan ESDM Kabupaten Garut,2026-05-04 23:35:00,2026,5,2026-05,272,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,75
63840,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-jusuf-kalla-wafat-setelah-empat-hari-dirawat,[HOAKS] Jusuf Kalla Wafat Setelah Empat Hari Dirawat,Jusuf Kalla Wafat Setelah Empat Hari Dirawat,2026-05-04 23:30:00,2026,5,2026-05,711,HOAKS,12,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,132
63839,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-pendaftaran-pt-pos-indonesia-2026,[HOAKS] Akun WhatsApp Pendaftaran PT Pos Indonesia 2026,Akun WhatsApp Pendaftaran PT Pos Indonesia 2026,2026-05-03 23:03:00,2026,5,2026-05,750,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,94
63838,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-rekrutmen-petugas-ptsp-kejakasaan-2026,[HOAKS] Tautan Rekrutmen Petugas PTSP Kejakasaan 2026,Tautan Rekrutmen Petugas PTSP Kejakasaan 2026,2026-05-03 23:02:00,2026,5,2026-05,384,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,160
63837,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-ustaz-abdul-somad-adakan-kuis-berhadiah-rp50-juta,[HOAKS] Ustaz Abdul Somad Adakan Kuis Berhadiah Rp50 Juta,Ustaz Abdul Somad Adakan Kuis Berhadiah Rp50 Juta,2026-05-03 23:01:00,2026,5,2026-05,408,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,87
63835,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-situs-mengatasnamakan-spmb-smpn-1-surakarta,[HOAKS] Situs Mengatasnamakan SPMB SMPN 1 Surakarta,Situs Mengatasnamakan SPMB SMPN 1 Surakarta,2026-05-02 23:47:00,2026,5,2026-05,378,HOAKS,5,Surat/Undangan Palsu Mengatasnamakan Instansi,122
63834,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-ramuan-rebusan-jahe-kunyit-kencur-dan-serai-bersihkan-paru-paru-dari-asap-rokok,"[HOAKS] Ramuan Rebusan Jahe, Kunyit, Kencur, dan Serai Bersihkan Paru-paru dari Asap Rokok","Ramuan Rebusan Jahe, Kunyit, Kencur, dan Serai Bersihkan Paru-paru dari Asap Rokok",2026-05-02 23:43:00,2026,5,2026-05,389,HOAKS,74,"Kesehatan, Obat, dan Pengobatan",131
63833,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tenda-pengungsi-israel-di-pegunungan,[HOAKS] Tenda Pengungsi Israel di Pegunungan,Tenda Pengungsi Israel di Pegunungan,2026-05-02 23:45:00,2026,5,2026-05,361,HOAKS,7,Agama dan Isu Sosial Keagamaan,80
63827,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-mengatasnamakan-pejabat-kejaksaan-negeri-kota-purwokerto,[HOAKS] Akun WhatsApp Mengatasnamakan Pejabat Kejaksaan Negeri Kota Purwokerto,Akun WhatsApp Mengatasnamakan Pejabat Kejaksaan Negeri Kota Purwokerto,2026-05-01 23:04:00,2026,5,2026-05,327,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,121
63826,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-menteri-agama-kecewa-masyarakat-tak-dukung-dana-rp1000-triliun,[HOAKS] Menteri Agama Kecewa Masyarakat Tak Dukung Dana Rp1000 Triliun,Menteri Agama Kecewa Masyarakat Tak Dukung Dana Rp1000 Triliun,2026-05-01 23:03:00,2026,5,2026-05,682,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,102
63825,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-interpol-tangkap-riza-chalid-di-dubai,[HOAKS] Interpol Tangkap Riza Chalid di Dubai,Interpol Tangkap Riza Chalid di Dubai,2026-05-01 23:02:00,2026,5,2026-05,296,HOAKS,14,"Isu Politik, Korupsi, dan Tokoh Publik",159
63824,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-ustaz-adi-hidayat-informasikan-dana-hibah-arab-saudi,[HOAKS] Ustaz Adi Hidayat Informasikan Dana Hibah Arab Saudi,Ustaz Adi Hidayat Informasikan Dana Hibah Arab Saudi,2026-05-01 23:01:00,2026,5,2026-05,258,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,78
63817,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-dedi-mulyadi-buka-program-beasiswa-garuda-untuk-warga-jabar,[HOAKS] Dedi Mulyadi Buka Program Beasiswa Garuda untuk Warga Jabar,Dedi Mulyadi Buka Program Beasiswa Garuda untuk Warga Jabar,2026-04-30 23:45:00,2026,4,2026-04,522,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,57
63816,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-mengatasnamakan-bupati-boltara-sirajudin-lasena,[HOAKS] Akun WhatsApp Mengatasnamakan Bupati Boltara Sirajudin Lasena,Akun WhatsApp Mengatasnamakan Bupati Boltara Sirajudin Lasena,2026-04-30 23:40:00,2026,4,2026-04,265,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,124
63815,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-menteri-agama-minta-warga-agar-kurban-dikelola-pemerintah-daripada-potong-sendiri,[HOAKS] Menteri Agama Minta Warga Agar Kurban Dikelola Pemerintah daripada Potong Sendiri,Menteri Agama Minta Warga Agar Kurban Dikelola Pemerintah daripada Potong Sendiri,2026-04-30 23:38:00,2026,4,2026-04,545,HOAKS,7,Agama dan Isu Sosial Keagamaan,89
63814,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-purbaya-tantang-luhut-untuk-beri-transparansi-soal-mbg,[HOAKS] Purbaya Tantang Luhut untuk Beri Transparansi Soal MBG,Purbaya Tantang Luhut untuk Beri Transparansi Soal MBG,2026-04-30 23:35:00,2026,4,2026-04,252,HOAKS,20,"Isu Politik, Korupsi, dan Tokoh Publik",128
63813,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-bantuan-usaha-umkm-dari-menkeu-purbaya,[HOAKS] Bantuan Usaha UMKM dari Menkeu Purbaya,Bantuan Usaha UMKM dari Menkeu Purbaya,2026-04-30 23:33:00,2026,4,2026-04,275,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,91
63812,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-megawati-soekarnoputri-sebut-guru-honorer-sampah-negara,[HOAKS] Megawati Soekarnoputri Sebut Guru Honorer Sampah Negara,Megawati Soekarnoputri Sebut Guru Honorer Sampah Negara,2026-04-30 23:30:00,2026,4,2026-04,278,HOAKS,68,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,168
63803,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-gibran-rakabuming-raka-membagikan-bansos-rp55-juta-di-media-sosial,[HOAKS] Gibran Rakabuming Raka Membagikan Bansos Rp55 Juta di Media Sosial,Gibran Rakabuming Raka Membagikan Bansos Rp55 Juta di Media Sosial,2026-04-29 23:05:00,2026,4,2026-04,506,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,94
63802,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-tiktok-mencatut-sekretariat-jenderal-kemenkeu,[HOAKS] Akun TikTok Mencatut Sekretariat Jenderal Kemenkeu,Akun TikTok Mencatut Sekretariat Jenderal Kemenkeu,2026-04-29 23:04:00,2026,4,2026-04,241,HOAKS,20,"Isu Politik, Korupsi, dan Tokoh Publik",118
63801,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-andrie-yunus-korban-penyiraman-air-keras-divonis-jadi-tersangka,[HOAKS] Andrie Yunus Korban Penyiraman Air Keras Divonis Jadi Tersangka,Andrie Yunus Korban Penyiraman Air Keras Divonis Jadi Tersangka,2026-04-29 23:03:00,2026,4,2026-04,217,HOAKS,26,"Hewan, Satwa, dan Peristiwa Alam",64
63800,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-kardinal-suharyo-umumkan-dana-bantuan-ri-untuk-umat-di-timor-leste,[HOAKS] Kardinal Suharyo Umumkan Dana Bantuan RI untuk Umat di Timor Leste,Kardinal Suharyo Umumkan Dana Bantuan RI untuk Umat di Timor Leste,2026-04-29 23:02:00,2026,4,2026-04,158,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,126
63799,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-presiden-prabowo-kerahkan-alutsista-karena-malaysia-dan-singapura-ancam-kedaulatan-ri,[HOAKS] Presiden Prabowo Kerahkan Alutsista karena Malaysia dan Singapura Ancam Kedaulatan RI,Presiden Prabowo Kerahkan Alutsista karena Malaysia dan Singapura Ancam Kedaulatan RI,2026-04-29 23:01:00,2026,4,2026-04,240,HOAKS,71,Topik Lainnya,145
63791,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-rusia-deklarasikan-perlindungan-untuk-indonesia-dari-ancaman-amerika-serikat,[HOAKS] Rusia Deklarasikan Perlindungan untuk Indonesia dari Ancaman Amerika Serikat,Rusia Deklarasikan Perlindungan untuk Indonesia dari Ancaman Amerika Serikat,2026-04-28 23:30:00,2026,4,2026-04,561,HOAKS,48,"Isu Politik, Korupsi, dan Tokoh Publik",60
63790,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-whatsapp-mengatasnamakan-kepala-dinas-pemberdayaan-masyarakat-dan-desa-kabupaten-garut,[HOAKS] Akun Whatsapp Mengatasnamakan Kepala Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Garut,Akun Whatsapp Mengatasnamakan Kepala Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Garut,2026-04-28 23:25:00,2026,4,2026-04,274,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,66
63789,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-pendaftaran-gebyar-bca-periode-april-2026,[HOAKS] Tautan Pendaftaran Gebyar BCA Periode April 2026,Tautan Pendaftaran Gebyar BCA Periode April 2026,2026-04-28 23:23:00,2026,4,2026-04,283,HOAKS,10,"Bank, Undian, dan Hadiah Palsu",98
63788,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-rekrutmen-program-langkah-bakti-jasa-raharja-pada-april-2026,[HOAKS] Tautan Rekrutmen Program Langkah Bakti Jasa Raharja pada April 2026,Tautan Rekrutmen Program Langkah Bakti Jasa Raharja pada April 2026,2026-04-28 23:20:00,2026,4,2026-04,256,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,83
63782,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-vaksin-sengaja-membuat-anak-sakit-demi-keuntungan,[HOAKS] Vaksin Sengaja Membuat Anak Sakit demi Keuntungan,Vaksin Sengaja Membuat Anak Sakit demi Keuntungan,2026-04-27 23:03:00,2026,4,2026-04,804,HOAKS,3,Kesehatan dan Vaksin COVID-19,133
63781,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-pengajuan-pinjaman-koperasi-merah-putih-lewat-whatsapp,[HOAKS] Pengajuan Pinjaman Koperasi Merah Putih Lewat WhatsApp,Pengajuan Pinjaman Koperasi Merah Putih Lewat WhatsApp,2026-04-27 23:02:00,2026,4,2026-04,421,HOAKS,0,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,86
63780,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-pendaftaran-pemutihan-sertifikat-tanah-gratis-tahun-2026,[HOAKS] Tautan Pendaftaran Pemutihan Sertifikat Tanah Gratis Tahun 2026,Tautan Pendaftaran Pemutihan Sertifikat Tanah Gratis Tahun 2026,2026-04-27 23:01:00,2026,4,2026-04,342,HOAKS,18,Bantuan Sosial dan Tautan Pendaftaran Palsu,175
63778,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-kode-token-untuk-listrik-gratis-tiga-bulan,[HOAKS] Kode Token untuk Listrik Gratis Tiga Bulan,Kode Token untuk Listrik Gratis Tiga Bulan,2026-04-26 23:33:00,2026,4,2026-04,606,HOAKS,67,Topik Lainnya,72
63777,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-artikel-demo-mahasiswa-di-jakarta-tuntut-presiden-dan-wapres-dimakzulkan-pada-20-april-2026,[HOAKS] Artikel Demo Mahasiswa di Jakarta Tuntut Presiden dan Wapres Dimakzulkan pada 20 April 2026,Artikel Demo Mahasiswa di Jakarta Tuntut Presiden dan Wapres Dimakzulkan pada 20 April 2026,2026-04-26 23:32:00,2026,4,2026-04,460,HOAKS,13,Penipuan WhatsApp Mengatasnamakan Pejabat/Instansi,117
63776,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-anggaran-pendapatan-dan-belanja-negara-indonesia-hanya-cukup-tiga-bulan,[HOAKS] Anggaran Pendapatan dan Belanja Negara Indonesia Hanya Cukup Tiga Bulan,Anggaran Pendapatan dan Belanja Negara Indonesia Hanya Cukup Tiga Bulan,2026-04-26 23:30:00,2026,4,2026-04,412,HOAKS,36,"Bank, Undian, dan Hadiah Palsu",153
63769,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-facebook-mengatasnamakan-wakil-bupati-karo-komando-tarigan,[HOAKS] Akun Facebook Mengatasnamakan Wakil Bupati Karo Komando Tarigan,Akun Facebook Mengatasnamakan Wakil Bupati Karo Komando Tarigan,2026-04-25 23:03:00,2026,4,2026-04,308,HOAKS,2,Akun Facebook Palsu Mengatasnamakan Tokoh/Pejabat,91
63767,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-ade-armando-adalah-pendiri-mafindo,[HOAKS] Ade Armando Adalah Pendiri Mafindo,Ade Armando Adalah Pendiri Mafindo,2026-04-25 23:04:00,2026,4,2026-04,363,HOAKS,1,"Isu Politik, Korupsi, dan Tokoh Publik",84
63766,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-hotman-paris-umumkan-bantuan-dap-australia-untuk-umat-kristen-indonesia,[HOAKS] Hotman Paris Umumkan Bantuan DAP Australia untuk Umat Kristen Indonesia,Hotman Paris Umumkan Bantuan DAP Australia untuk Umat Kristen Indonesia,2026-04-25 23:02:00,2026,4,2026-04,323,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,120
63765,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-lowongan-kerja-puskesmas-indonesia,[HOAKS] Tautan Lowongan Kerja Puskesmas Indonesia,Tautan Lowongan Kerja Puskesmas Indonesia,2026-04-25 23:01:00,2026,4,2026-04,394,HOAKS,4,Rekrutmen dan Lowongan Kerja Palsu,59
63761,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-untuk-klaim-insentif-guru-asn-senilai-rp7-juta,[HOAKS] Tautan untuk Klaim Insentif Guru ASN Senilai Rp7 Juta,Tautan untuk Klaim Insentif Guru ASN Senilai Rp7 Juta,2026-04-24 23:55:00,2026,4,2026-04,490,HOAKS,18,Bantuan Sosial dan Tautan Pendaftaran Palsu,75
63760,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-video-habib-jafar-informasikan-dana-hibah-al-bayti,[HOAKS] Video Habib Ja'far Informasikan Dana Hibah Al Bayti,Video Habib Ja'far Informasikan Dana Hibah Al Bayti,2026-04-24 23:50:00,2026,4,2026-04,301,HOAKS,15,Bantuan Sosial dan Tautan Pendaftaran Palsu,130
63759,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-untuk-partisipasi-undian-berhadiah-bpd-diy-tahun-2026,[HOAKS] Tautan untuk Partisipasi Undian Berhadiah BPD DIY Tahun 2026,Tautan untuk Partisipasi Undian Berhadiah BPD DIY Tahun 2026,2026-04-24 23:45:00,2026,4,2026-04,221,HOAKS,10,"Bank, Undian, dan Hadiah Palsu",114
63758,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-facebook-mengatasnamakan-bupati-kepulauan-sitaro-chyntia-kalangit,[HOAKS] Akun Facebook Mengatasnamakan Bupati Kepulauan Sitaro Chyntia Kalangit,Akun Facebook Mengatasnamakan Bupati Kepulauan Sitaro Chyntia Kalangit,2026-04-24 23:40:00,2026,4,2026-04,187,HOAKS,2,Akun Facebook Palsu Mengatasnamakan Tokoh/Pejabat,109
