Topic,Count,Name,Representation,Representative_Docs
24,119,24_timnas_piala_bola_sepak bola,"['timnas', 'piala', 'bola', 'sepak bola', 'sepak', 'timnas indonesia', 'pssi', 'piala dunia', 'pelatih', 'tim nasional']","['presiden prabowo desak pssi tarik shin tae yong kembali ke timnas di facebook yang mengeklaim bahwa presiden prabowo desak persatuan sepak bola seluruh indonesia pssi tarik shin tae yong untuk kembali melatih tim nasional timnas sepak bola indonesia klaim dalam unggahan tersebut adalah atau hoaks turnbackhoax id setelah dilakukan penelusuran oleh tim periksa fakta mafindo tidak ada pernyataan resmi dari presiden prabowo serta pssi tentang menarik kembali shin tae yong menjadi pelatih timnas sepak bola indonesia berdasarkan informasi di laman resmi pssi pssi org patrick kluivert resmi diperkenalkan sebagai pelatih baru timnas sepak bola indonesia pada minggu januari hoaks', 'pssi putuskan timnas indonesia keluar dari aff video di facebook yang menampilkan ketua umum persatuan sepak bola seluruh indonesia pssi erick thohir sedang melakukan konferensi pers dalam video dinarasikan pssi keluarkan pernyataan tegas tim nasional timnas sepak bola indonesia mulai dari u19 u20 dan senior resmi keluar dari aff asean football federation dan tidak akan mengikuti piala aff klaim narasi dalam video tersebut adalah kompas com video tersebut identik dengan unggahan pada kanal youtube liputan6 video yang beredar merupakan momen ketika erick thohir menyampaikan pembentukan satgas anti mafia bola pada saat itu tidak ada pernyataan apa pun soal piala aff setelah tersingkir dari piala aff tidak ada informasi valid erick thohir mengumumkan timnas sepak bola indonesia keluar dari aff hoaks', 'shin tae yong kembali pimpin latihan timnas indonesia video di yang mengeklaim kembalinya shin tae yong sty sebagai pelatih tim nasional timnas sepak bola indonesia klaim kembalinya shin tae yong sty sebagai pelatih timnas sepak bola indonesia adalah atau hoaks dalam video tersebut tidak membahas kembalinya shin tae yong sebagai pelatih timnas sepak bola indonesia melainkan mengenai laga kualifikasi piala dunia zona asia turnbackhoax id setelah melakukan penelusuran dengan kata kunci shin tae yong kembali melatih timnas ke mesin pencari google mengarah ke pemberitaan inews id dengan judul artikel apakah shin tae yong kembali melatih timnas indonesia terungkap rencana besar shin tae yong di dunia sepak bola tanah air diketahui tidak ada kepastian mengenai kembalinya shin tae yong sebagai pelatih namun shin tae yong masih menunjukkan berbagai aktivitas dan komitmennya terhadap perkembangan sepak bola indonesia salah satunya dengan mendirikan shin tae yong foundation untuk pengembangan sepak bola usia dini hoaks']"
25,184,25_hadiah_telegram_shopee_sms,"['hadiah', 'telegram', 'shopee', 'sms', 'bri', 'pos indonesia', 'penipuan', 'mengatasnamakan', 'pos', 'pegadaian']","['sms pemenang shopee new year and sale telah beredar pesan singkat yang tersebar mengatasnamakan shopee pesan tersebut berisikan sebuah pesan resmi pemenang sh opee new year and sale sejumlah rp juta lengkap dengan website pengumumannya setelah ditelusuri isi pesan singkat tersebut adalah penipuan hal tersebut sudah ditegaskan dari akun twitter resmi shopee shopeeid yang menyatakan bahwa shopee tidak pernah melakukan undian di sms dan website adapun untuk pengumuman pemenang lomba atau kuis shopee langsung diumumkan melalui notifikasi aplikasi dan sosial media resmi shopee pihak shopee menghimbau untuk selalu hati hati terhadap penipuan yang mengatasnamakan shopee hoaks', 'pengumuman undian pemenang hadiah oleh shopee beredar pesan singkat yang menginformasikan pemenang hadiah dari shopee dengan mencantumkan sebuah tautan berisikan pemenang hadiah shopee untuk promo turnbackhoax id hal tersebut public relations shopee melalui laman kompas mengatakan bahwa pengumuman pemberian hadiah dari shopee hanya diberitakan melalui aplikasi shopee akun resmi instagram shopee id akun resmi twitter shopeeid dan akun resmi facebook shopee selain kanal kanal tersebut pemberitaan terkait pemberian hadiah dari shopee merupakan penipuan hoaks', 'sms pemenang shopee birthday telah beredar pesan singkat yang tersebar mengatasnamakan shopee pesan tersebut berisikan sebuah pengumuman pemenang juta dari shopee birthday setelah ditelusuri isi pesan singkat tersebut adalah penipuan hal tersebut sudah ditegaskan dari akun twitter resmi shopee shopeeid yang menyatakan bahwa shopee tidak pernah menghubungi menggunakan nomor pribadi atau melakukan undian melalui sms dan website pihak shopee menghimbau untuk selalu hati hati terhadap penipuan yang mengatasnamakan shopee hoaks']"
26,155,26_kapal_laut_ikan_pantai,"['kapal', 'laut', 'ikan', 'pantai', 'nelayan', 'kri', 'nanggala', 'tenggelam', 'selam', 'kri nanggala']","['foto awak kapal kri nanggala sebelum hilang di perairan utara bali foto yang menampilkan beberapa orang tengah melaksanakan sholat di badan kapal selam yang masih mengapung foto tersebut diklaim merupakan foto awak kapal selam kri nanggala sebelum melaksanakan tugas dan akhirnya tenggelam namun setelah dilakukan penelusuran foto tersebut merupakan awak kapal kri ardadedali sesuai dengan informasi yang disampaikan oleh kepala dinas penerangan tni al laksamana pertama tni julius widjojono turut menepis foto itu diambil dari kri nanggala ditemukan pula ciri yang dapat dengan mudah membedakan antara kri nanggala dengan kri ardadedali yaitu besi pada sisi kapal selam yang menurut julius tidak dimiliki oleh kapal selam kri nanggala disinformasi', 'kri nanggala ditembak kapal selam prancis informasi di twitter yang menyebut kri nanggala salah satu kapal selam milik tni angkatan laut tenggelam karena ditembak oleh kapal selam nuklir milik prancis disebutkan juga bahwa penembakan itu dilatarbelakangi persaingan bisnis kapal selam antara prancis dan jerman kompas com kepala pusat penerangan kapuspen tni mayjen tni achmad riad memastikan bahwa kabar kri nanggala tenggelam karena terkena rudal menurut kepala staf tni angkatan laut ksal laksamana yudo margono dari sejumlah laporan awal penyebab tenggelamnya kapal selam buatan jerman itu bukan karena kesalahan manusia maupun black out atau mati listrik namun lebih karena faktor alam kendati demikian pihaknya perlu mengangkat badan kapal terlebih dahulu untuk mengetahui penyebab pasti tenggelamnya kapal selam tersebut hoaks', 'kapal selam hancur dirudal tiongkok beredar pesan berantai melalui whatsapp berisi narasi bahwa kapal selam dirudal tiongkok dengan unggahan narasi gimana mau ketemu kapalnya kapal sdh hancur di rudal kapal cina mgkn kapal selam kita menangkap pergerakan bawah laut tanpa setahu kita n demi menyelamatkan misi keji kapal siluman cina akhirnya kapal selam kita d rudal n ini pasti melibatkan pemerintah medcom id klaim bahwa kapal selam yang belakangan ini menjadi perhatian luas di indonesia hancur dirudal tiongkok adalah tidak ada informasi resmi dan valid mengenai hal itu kepala staf angkatan laut ksal laksamana yudo margono memastikan pihaknya akan melakukan investigasi lebih lanjut penyebab tenggelamnya kapal selam kri nanggala hoaks']"
27,174,27_banjir_bandang_banjir bandang_bencana,"['banjir', 'bandang', 'banjir bandang', 'bencana', 'air', 'sungai', 'bendungan', 'bencana banjir', 'hujan', 'kecamatan']","['foto foto banjir di kalimantan selatan beredar di twitter beberapa foto bencana banjir yang diklaim adalah foto banjir di kalimantan selatan turnbackhoax id foto yang digunakan ternyata adalah foto banjir yang terjadi di krai krasnodar rusia pada bulan juli tahun banjir tersebut telah menghancurkan hampir rumah dan orang meninggal banjir itu terjadi setelah badai menghantam krasnodar dan hujan deras selama hari jadi klaim foto foto tersebut merupakan foto banjir di kalimantan selatan adalah disinformasi', 'video banjir di cicurug sukabumi postingan di instagram yang berisi sebuah video kejadian banjir yang menyeret beberapa rumah dan mobil serta diiringi mengklaim video tersebut itu merupakan kejadian banjir di cicurug sukabumi jawa barat medcom id klaim bahwa video itu memperlihatkan peristiwa banjir yang terjadi baru baru ini di sukabumi adalah salah video itu merupakan peristiwa lama video tersebut juga pernah diunggah pada kanal youtube yang diberi judul tsunami in natori miyagi prefecture japan pada maret silam di sisi lain bahwa benar terjadi banjir bandang di sukabumi senin september badan penanggulangan bencana daerah bpbd kabupaten sukabumi mendata sebanyak rumah dinyatakan hanyut dan rumah lainnya terendam akibat banjir bandang yang terjadi di kecamatan cicurug banjir bandang berasal dari luapan sungai citarik disinformasi', 'video banjir bandang sedalam meter lumpuhkan ibu kota unggahan video pada platform youtube dengan klaim bahwa bencana banjir bandang telah melumpuhkan ibu kota secara total diketahui banjir sedalam meter tersebut telah mengakibatkan ratusan rumah hanyut turnbackhoax id informasi pada video tersebut adalah narator hanya membaca ulang dua artikel yang tidak saling berkaitan pertama artikel milik metro tv news berjudul banjir bandang terpa pesta pernikahan di magetan dalam artikel diberitakan mengenai sebuah pesta pernikahan di desa sidomukti kabupaten magetan jawa timur yang diterjang banjir bandang pada desember kedua artikel milik cnbc indonesia berjudul banjir besar terjang malaysia orang mengungsi dalam artikel diberitakan mengenai banjir besar yang melanda malaysia pada desember akibat banjir tersebut setidaknya orang telah dievakuasi dan enam negara bagian terendam banjir hoaks']"
28,154,28_israel_palestina_ledakan_gaza,"['israel', 'palestina', 'ledakan', 'gaza', 'produk', 'iran', 'tni', 'rudal', 'serangan', 'mui']","['tni perdamaian tantang israel untuk perang besar unggahan video di facebook yang mengeklaim tni perdamaian tantang israel untuk perang besar unggahan video berisi klaim tni perdamaian tantang israel untuk perang besar turnbackhoax id tidak ditemukan informasi mengenai tni yang menantang pasukan israel untuk perang besar besaran diketahui unggahan video tersebut merupakan kumpulan dari beberapa potongan klip yang tidak saling berkaitan di antaranya dari video pada artikel cbsnews com yang menjelaskan mengenai rencana israel untuk menguasai seluruh gaza dan akan memaksa warga palestina pindah ke gaza selatan lalu dari artikel themalteseherald com yang menjelaskan mengenai israel yang merebut kota majdoulia di selatan suriah setelah sebelumnya merebut kota jamla dan klip dari kanal youtube unifil 23p dan agus merdeka putra berisi momen kontingen indonesia yang menjuarai small arms shooting competition sasco yang diselenggarakan oleh unifil di lebanon', 'tni membunuh tentara israel beredar video di facebook yang menampilkan seorang presenter perempuan dengan narasi israel pupus harapan hampir seribu tentara lenyap dalam tragedi gaza selatan tni membunuh tentara israel dalam jam dibantu rusia turnbackhoax id mengeklaim tni membunuh ribuan tentara israel tersebut unggahan tersebut mencatut video berita yang diunggah oleh kanal youtube serambinews berjudul israel pupus harapan hampir seribu tentara lenyap dalam tragedi gaza selatan yang tayang senin mei video tersebut melaporkan pernyataan dari militer israel pada minggu mei mengenai kematian perwira mereka dalam pertempuran di gaza selatan pemberitaan serambinews itu tidak mengungkapkan peran tni atau militer rusia sebagai faktor yang menyebabkan kematian ribuan tentara israel hoaks', 'indonesia gabung rusia dan iran untuk serang israel video di facebook yang menyebutkan indonesia memutuskan bergabung dengan rusia dan iran untuk menyerang israel dalam beredar serangan itu terkait dengan konflik israel dan palestina di gaza kompas com klaim soal indonesia bergabung dengan rusia dan iran untuk menyerang israel adalah keliru judul yang dipakai dalam video tidak sesuai dengan video dan dibacakan narator narator dalam video hanya menyampaikan opini soal negara negara arab yang lebih memilih untuk berpihak ke israel karena memiliki kedekatan dengan amerika serikat as namun tidak ada soal bergabungnya indonesia dengan negara negara tersebut untuk menyerang israel rusia dan iran memang mendukung palestina tetapi tidak ada pernyataan resmi dari kedua negara tersebut untuk bergabung dengan indonesia untuk menyerang israel hoaks']"
29,128,29_papua_tni_papua barat_kkb,"['papua', 'tni', 'papua barat', 'kkb', 'nduga', 'opm', 'polda papua', 'tni polri', 'polri', 'anggota']","['tokoh papua minta jabatan ke jokowi disinformasi beredar postingan di facebook yang menuliskan isu bahwa pertemuan tokoh dari papua dan papua barat dengan presiden joko widodo pada selasa september adalah untuk meminta jabatan isu miring tersebut langsung dibantah oleh menteri koordinator bidang politik hukum dan ham menkopolhukam wiranto yang juga turut hadir dalam pertemuan itu dengan menyatakan bahwa pernyataan itu dan tidak ada satu kalimat pun yang mengisyaratkan mereka meminta jabatan dan uang tetapi semata mata mengaspirasikan masyarakat adat dan kelompoknya untuk mendapatkan perhatian adapun para tokoh yang datang kala itu telah melalui seleksi dan merupakan tokoh adat serta tokoh masyarakat dalam pertemuan itu yang dibahas antara lain soal pembangunan istana presiden di papua pemekaran wilayah papua dan papua barat serta perekrutan putra putri papua papua barat sebagai pegawai badan usaha milik negara bumn', 'ketua komnas ham akan tempuh hukum internasional di papua di facebook berisi video ketua komisi nasional hak asasi manusia komnas ham anis hidayah yang mengatakan akan menempuh jalur hukum internasional jika tni tidak segera mundur dari tanah papua video dalam unggahan tersebut adalah kompas com setelah dicek menggunakan hive moderation video tersebut terdeteksi dihasilkan oleh kecerdasan buatan atau artificial intelligence ai dengan probabilitas persen jubi id anis hidayah meminta pasukan non organik untuk mundur bertahap dan mendorong pendekatan kemanusiaan untuk menyelesaikan masalah di papua kemudian pada awal november anis hidayah juga mendatangi kantor wilayah kementerian hukum papua untuk melakukan audiensi papua kemenkum go id kolaborasi ini penting untuk memastikan kehadiran negara dalam menjamin pemenuhan serta perlindungan ham di wilayah papua papua selatan papua tengah dan papua pegunungan dan tidak ada usulan atau pernyataan resmi dari komnas ham yang mengancam akan menempuh hukum internasional di papua', 'juru bicara opm menyatakan menyerah dan hentikan perlawanan video di facebook yang mengeklaim juru bicara tentara pembebasan nasional papua barat organisasi papua merdeka tpnpb opm sebby sambom menyatakan kelompoknya menyerah dan menghentikan perlawanan kompas com setelah dilakukan penelusuran video tersebut identik dengan kanal youtube wplo west papua dengan judul himbauan komnas tpnpb untuk perayaan hut kemerdekaan west papua desember yang tayang pada november dalam video sebby sambom mengajak masyarakat papua barat untuk memperingati lahirnya embrio negara papua barat setiap tanggal desember papua barat sudah membentuk kabinet pemerintahan dan lagu kebangsaan tidak ada pernyataan sebby sambom yang menyebut tpnpb opm telah menyerah dan menghentikan perlawanan kondisi di papua masih belum kondusif akibat konflik bersenjata antara tni dengan opm kekerasan bersenjata ini juga mengakibatkan masyarakat sipil menjadi korban pada mei komisi nasional hak asasi manusia dan komisi xiii dpr ri meminta pemerintah segera membuka ruang dialog untuk menunjukkan komitmen nyata terhadap terwujudnya perdamaian di papua hoaks']"
30,176,30_varian_virus_pandemi_tes,"['varian', 'virus', 'pandemi', 'tes', 'pcr', 'who', 'omicron', 'flu', 'tes pcr', 'pandemi covid']","['tes pcr tidak bisa deteksi varian baru virus covid beredar postingan di facebook terkait informasi varian baru dari virus covid dimana virus jenis baru tersebut telah bermutasi secara meluas serta penyebarannya sudah sampai di singapura dalam postingan disebutkan bahwa varian baru dari virus covid ini tidak dapat terdeteksi melalui tes pcr dan rapid test antigen tasikmalaya pikiran rakyat com dr zubairi djoerban selaku ketua satgas covid ikatan dokter indonesia idi membantah melalui cuitan dalam akun twitternya yang menyatakan bahwa ada yang bilang varian baru ini tidak bisa terdeteksi tes pcr itu dr zubair menjelaskan tes pcr ini bisa mendeteksi tiga spike seperti paku paku yang menancap pada permukaan virus korona berbeda sehingga varian baru ini masih tetap bisa dideteksi tes pcr hoaks', 'klaim covid varian delta merupakan hasil rekayasa unggahan berbahasa inggris di yang meragukan adanya mutasi varian baru virus covid pada unggahan tertulis narasi bagaimana kenaikan varian tertentu dapat dideteksi ketika test kit tidak menguraikan antara strain varian yang berbeda tidak ada tes varian delta bagaimana bisa mendiagnosa itu sebagai varian delta reuters com jade fulce juru bicara pusat pengendalian dan pencegahan penyakit amerika serikat cdc menjelaskan bahwa varian corona yang baru dideteksi bukan lewat tes covid seperti antigen atau pcr melainkan melalui proses whole genome sequencing wgs wgs bertujuan untuk menganalisis sampel guna mengidentifikasi dan menemukan karakteristik varian selanjutnya mengutip dari kumparan com dokter spesialis mikrobiologi rs ui dr ardiana kusumaningrum menyebut indonesia sendiri juga sudah mulai rutin melakukan wgs yang difasilitasi oleh litbangkes badan penelitian dan pengembangan kesehatan ardiana turut menjelaskan dalam proses wgs sampel corona yang diambil lewat tes usap pcr akan dilihat dengan lebih detail kemudian virus tersebut akan dikarakterisasi sehingga bisa diketahui masuk ke varian mana pemeriksaan lewat wgs dapat memeriksa virus yang terus berubah melalui mutasi yang kemudian menciptakan varian baru sehingga dapat mempelajari bagaimana cara virus varian baru menyebar seberapa tingkat keparahan dampaknya dan apakah vaksin akan efektif melawannya disinformasi', 'omicron tidak terdeteksi tes pcr informasi di facebook berisi klaim yang menyebutkan varian omicron tidak dapat terdeteksi oleh alat tes pcr klaim varian omicron tidak dapat terdeteksi oleh alat tes pcr adalah salah world health organization who menegaskan bahwa varian omicron masih bisa terdeteksi oleh tes pcr temuan temuan di afrika selatan dan negara lain juga diidentifikasi melalui tes pcr dokter asal afrika selatan yang melaporkan pasien covid varian omicron angelique coetzee mengatakan mereka yang terkena varian ini memiliki gejala ringan who juga tidak menyebutkan bahwa varian ini mematikan hoaks']"
31,160,31_prabowo_presiden_presiden prabowo_triliun,"['prabowo', 'presiden', 'presiden prabowo', 'triliun', 'jokowi', 'uang', 'prabowo subianto', 'subianto', 'dana', 'juta']","['presiden prabowo subianto promosi mobil listrik rp600 video di facebook yang mengeklaim presiden prabowo subianto mempromosikan mobil listrik seharga rp600 dalam video tersebut presiden prabowo subianto mengatakan bahwa mobil listrik tersebut dijual oleh pasangan selebritas raffi ahmad dan nagita slavina adalah kompas com setelah dilakukan penelusuran ditemukan bahwa gerakan bibir presiden prabowo subianto dalam video tersebut tampak tidak sesuai video tersebut merupakan hasil manipulasi yang dihasilkan oleh artificial intelligence ai dengan probabilitas mencapai persen', 'presiden prabowo tarik uang luar negeri rp7000 triliun unggahan video di facebook yang mengeklaim presiden prabowo akan menarik uang luar negeri sejumlah rp7000 triliun pada tahun adalah atau hoaks turnbackhoax id setelah dilakukan pengecekan ke mesin pencari google dengan menggunakan kata kunci prabowo tarik uang luar negeri triliun hasilnya tidak ditemukan informasi kredibel yang membenarkan lebih lanjut detik com telah merilis berita berjudul prabowo bakal tarik utang baru rp781 triliun pada yang tayang senin agustus dalam artikel itu disebutkan bahwa presiden prabowo subianto merencanakan penarikan utang baru sebesar rp781 triliun pada tertuang dalam rapbn utang ini dirancang untuk mendukung pembangunan nasional dan meredam gejolak ekonomi global yang tidak pasti sementara itu dalam video berdurasi menit detik tersebut narator hanya membahas strategi presiden prabowo dalam menambah uang negara', 'prabowo dan gibran membagikan bantuan uang puluhan juta tiktok yang menampilkan presiden prabowo subianto dan wakil presiden gibran rakabuming raka membagikan bantuan uang kepada masyarakat indonesia sampai dengan puluhan juta rupiah klaim unggahan video tersebut adalah setelah ditelusuri akun resmi presiden prabowo prabowo dan wakil presiden gibran gibran rakabuming tidak ada satu pun informasi yang menyebutkan bahwa presiden prabowo dan wakil presiden gibran melakukan bagi bagi bantuan kepada masyarakat berita terkait presiden prabowo subianto bagi bagi bantuan ada di dalam cekfakta tempo co dengan judul prabowo subianto bagikan uang rp juta unggahan berhadiah yang menggunakan foto presiden prabowo subianto tersebut merupakan penipuan berita terkait wakil presiden gibran rakabuming raka terdapat pada antaranews com gibran bagi bagi uang tunai sebesar rp20 juta di tiktok setelah ditelusuri foto tersebut kemudian menggunakan laman hive moderation untuk mendeteksi suara pada video tersebut dan diketahui suara dalam unggahan tiktok tersebut merupakan hasil rekayasa kecerdasan buatan atau artificial intelligence ai dengan hasil penilaian persen maraknya penipuan di warganet diimbau berhati hati dan tidak terpancing untuk mengeklik mengirimkan pesan atau membagikan identitas pribadi di hoaks']"
32,110,32_bpjs_bpjs kesehatan_bantuan_peserta,"['bpjs', 'bpjs kesehatan', 'bantuan', 'peserta', 'iuran', 'mengatasnamakan bpjs', 'jaminan', 'badan penyelenggara', 'penyelenggara jaminan', 'jaminan bpjs']","['pengalihan bpjs kesehatan mandiri ke gratis cukup dengan klik tautan beredar sejumlah video di tiktok berisi mengeklaim pemerintah resmi menghapus badan penyelenggara jaminan sosial bpjs kesehatan mandiri kelas kelas dan kelas disebutkan bahwa program terbaru itu mulai diterapkan pada februari seluruh peserta bpjs kesehatan mandiri akan dialihkan ke bpjs kesehatan gratis atau peserta penerima bantuan iuran pbi dan tunggakan bpjs kesehatan mandiri akan digratiskan sepenuhnya peserta bpjs kesehatan diminta untuk melakukan pendaftaran ulang kartu bpjs nya dengan mengeklik dan mendaftar di tautan yang disematkan pada akun tiktok tersebut pihak bpjs kesehatan republik indonesia melalui akun tiktok resminya bpjskesehatan ri menyebut pendaftaran menjadi peserta pbi memang ada namun melalui mekanisme tersendiri bukan melalui tautan tidak verified yang disebarkan di pengguna bpjs kesehatan diminta untuk berhati hati terhadap penipuan yang mengatasnamakan bpjs kesehatan informasi resmi hanya ada di website resmi dan resmi bpjs kesehatan hoaks', 'pendaftaran penghapusan tunggakan bpjs kesehatan dan iuran gratis di facebook berisi mengeklaim pendaftaran penghapusan tunggakan badan penyelenggara jaminan sosial bpjs kesehatan dan iuran gratis disebutkan dalam unggahan tersebut bahwa kelas kelas dan kelas dihapus silahkkan daftar ulang kartu bpjs karena iuran bpjs terbaru semua digratiskan tahun peserta bpjs diminta untuk melakukan pendaftaran ulang kartu bpjs nya dengan mengklik dan mendaftar pada tautan di akun facebook tersebut adalah liputan6 com setelah ditelusuri kepala humas bpjs kesehatan rizky anugrah mengatakan pendaftaran penghapusan tunggakan bpjs kesehatan dan iuran gratis dan menjadi modus penipuan menurut rizky anugrah bpjs kesehatan tidak memiliki program penghapusan tunggakan bpjs kesehatan dan iuran gratis pengguna bpjs kesehatan diminta untuk berhati hati terhadap penipuan yang mengatasnamakan bpjs kesehatan informasi resmi hanya ada di situs resmi dan resmi bpjs kesehatan hoaks', 'whatsapp mengatasnamakan bpjs memberikan bantuan dana rp juta beredar akun whatsapp mengatasnamakan bpjs kesehatan akun tersebut terlihat mengirimkan pesan yang menyebut bahwa bpjs kesehatan memberikan dana bantuan sebesar rp juta bpjs kesehatan melalui akun resminya menyatakan bahwa hal tersebut atau hoaks sebab bpjs kesehatan tidak pernah memberikan bantuan dana tunai kepada peserta jkn kis selain itu bpjs kesehatan juga mengimbau masyarakat agar selalu waspada terhadap segala informasi hoaks dan penipuan yang mengatasnamakan bpjs kesehatan semua pengumuman atau informasi mengenai bpjs kesehatan bisa diakses melalui website dan resmi bpjs kesehatan dan apabila menemukan akun media komunikasi atau situs web yang mengatasnamakan bpjs kesehatan masyarakat dapat mengonfirmasikan ke bpjs kesehatan care center atau akun resmi bpjs kesehatan hoaks']"
33,120,33_babi_daging_sapi_ayam,"['babi', 'daging', 'sapi', 'ayam', 'halal', 'hewan', 'manusia', 'produk', 'mengandung', 'makan']","['anak presiden jokowi kaesang pangarep pamer makan babi beredar di facebook sebuah tangkapan layar yang menyebutkan anak presiden joko widodo kaesang pangarep pamer makan daging babi dalam tangkapan layar yang diunggah ada dua tulisan seperti sebuah artikel dalam berita dengan ada dalam gambar pertama anak jokowi pamer makan daging babi dan gambar kedua kaesang pangarep daging babi enak daging kambing kaya jengkol busuk tidak hanya mengunggah foto akun facebook tersebut juga memberikan caption dengan narasi dari biang penipu lahirlah anak penipu informasi yang menyebut anak presiden jokowi kaesang pangarep pamer makan babi adalah salah fakta yang benar adalah kaesang tidak sengaja makan daging babi saat pertama kali berada di singapura kaesang dalam blog yang ditulisnya terpesona dengan cita rasa sepotong daging di sebuah restoran yang ada di singapura dia pun berniat membeli satu porsi untuk dibawa makan di asrama namun niatnya itu batal setelah tahu daging yang dia makan ternyata haram untuk umat muslim disinformasi', 'menuangkan coca cola ke daging babi mentah menyebabkan cacing muncul salah satu akun di telah memposting informasi yang mengatakan bahwa menuangkan coca cola ke daging babi mentah menyebabkan cacing muncul ke permukaan mereka memperingatkan orang orang untuk berhati hati dalam mengkonsumsi daging babi yang dapat membuat mereka benar benar sakit ketika parasit di dalamnya dicerna bersama daging setelah ditelusuri lebih lanjut merendam daging babi mentah dengan coca cola tidak menyebabkan cacing muncul ke permukaan jika ingin mengkonsumsi daging babi harus memilih babi yang sehat higienis dan juga memasaknya dengan baik dengan begitu daging babi aman untuk dikonsumsi hoaks', 'akibat makan daging babi disinformasi beredar kumpulan foto seseorang yang mengalami luka luka di sekujur tubuhnya serta diamputasi foto tersebut disandingkan dengan gambar gambar dari daging babi foto foto luka hingga amputasi tersebut dinarasikan sebagai akibat dari memakan daging babi adapun foto tersebut merupakan foto seorang pria thailand bernama pao nopparat milinthanuch yang harus diamputasi setelah terinfeksi patogen streptococcus suis nopparat terpapar patogen tersebut setelah memakan darah babi streptococcus suis sendiri dapat menginfeksi manusia melalui kulit manusia yang terluka atau lecet serta melalui konsumsi darah babi dan daging babi yang mentah atau dimasak setengah matang apabila diolah secara benar dan dimasak dengan matang daging babi tergolong aman untuk dikonsumsi bagi yang diperbolehkan untuk mengkonsumsinya']"
34,138,34_harimau_burung_kucing_hewan,"['harimau', 'burung', 'kucing', 'hewan', 'binatang', 'makhluk', 'seekor', 'bunga', 'penampakan', 'manusia']","['makhluk aneh berkepala manusia hoaks beredar kabar yang cukup menggemparkan masyarakat setelah beberapa video di sosial media memperlihatkan makhluk aneh berkepala manusia agar menarik perhatian masyarakat atau netizen dibuatlah narasi dengan judul yang bombastis seperti anak durhaka kepala manusia badan buaya manusia berkepala singa anak derhaka menjadi anjing makhluk yang ditampilkan dalam video tersebut adalah manusia asli benar benar manusia video video itu merupakan cuplikan dari video dokumentasi salah satu atraksi reguler mumtaz begum di kebun binatang karachi di pakistan kepala manusia perempuan yang tampak dengan badan hewan tersebut adalah murad ali seorang pria yang didandan sedemikian rupa dia duduk di bawah tempat tidur dan hanya menyembulkan kepalanya keluar disampingnya dipasang tiruan badan rubah sehingga nampak seolah olah menyatu dengan kepalanya mumtaz begum adalah makhluk mitos di pakistan berupa rubah berkepala perempuan maka murad sengaja berdandan bak perempuan dan memakai kerudung setiap harinya murad berakting selama jam pekerjaan itu ia wariskan dari ayahnya menurut direktur kebun binatang mohammad fahim khan tidak sembarang orang bisa berperan menjadi mumtaz menurutnya murad dipilih karena memang punya talenta yang sesuai lelaki itu menguasai beragam bahasa setempat dan pandai berakting untuk berkunjung dan berbicara langsung dengan mumtaz setiap pengunjung diminta untuk membayar tiket seharga rupee', 'harimau serang manusia di riau telah beredar video viral di youtube terkait harimau menyerang manusia dan harimau mati di tangan warga yang terjadi di riau detik com dian selaku humas balai besar konservasi sumber daya alam bbksda riau memastikan kejadian tersebut bukan terjadi di riau alias hoaks dian menjelaskan bahwa video viral tentang harimau mati ditombak warga terjadi di pagar alam sumatera selatan sedangkan video harimau yang menyerang warga kejadian sebenarnya terjadi di kebun binatang china terkait foto harimau yang dibunuh kejadiannya berlangsung di sumatera utara menurut dian video itu hasil editan dari beberapa kejadian yang lokasinya berbeda disinformasi', 'harimau kurus tidak diberi makan di kebun binatang maharani lamongan beredar postingan yang berisi informasi terdapat seekor harimau yang perutnya kurus di kebun binatang maharani lamongan hal tersebut diklaim karena tidak diberi makan harimau sumatera penghuni kebun binatang maharani di lamongan jawa timur yang viral di karena kondisi kurus tak terawat dan berekor pendek ternyata lanjut usia usianya menginjak lima belas tahun dan masuk lanjut usia sehingga terdapat perubahan bentuk tubuh kabid balai konservasi sumberdaya alam wilayah ii gresik wiwied widodo mengatakan kondisi harimau sumatera ini normal dan sehat berdasarkan catatan pengelola kebun binatang maharani disnformasi']"
